Name,Team,Position,PPR Value,0.5 PPR Value,SF Value,TEP+ Value,TEP++ Value,TEP+++ Value,PPR Tier,0.5 PPR Tier,SF Tier,TEP+ Tier,TEP++ Tier,TEP+++ Tier,Rookie
Jahmyr Gibbs,,RB,9800,9800,9800,9800,9800,9800,1,1,1,1,1,1,
Bijan Robinson,,RB,9650,9650,9725,9650,9650,9650,1,1,1,1,1,1,
Ja'Marr Chase,,WR,9500,9500,9650,9500,9500,9500,1,1,1,1,1,1,
Christian McCaffrey,,RB,9300,9300,9300,9300,9300,9300,2,2,2,2,2,2,
Puka Nacua,,WR,9167,9200,9200,9167,9167,9167,2,2,2,2,2,2,
Jaxon Smith-Njigba,,WR,9033,9100,9100,9033,9033,9033,2,2,2,2,2,2,
Amon-Ra St. Brown,,WR,8900,9000,9000,8900,8900,8900,2,2,2,2,2,2,
Jonathan Taylor,,RB,8700,8900,8700,8700,8700,8700,3,2,3,3,3,3,
Saquon Barkley,,RB,8629,8700,8650,8629,8629,8629,3,3,3,3,3,3,
AJ Brown,,WR,8557,8600,8600,8557,8557,8557,3,3,3,3,3,3,
Omarion Hampton,,RB,8486,8500,8550,8486,8486,8486,3,3,3,3,3,3,
Justin Jefferson,,WR,8414,8400,8500,8414,8414,8414,3,3,3,3,3,3,
James Cook,,RB,8343,8300,8450,8343,8343,8343,3,3,3,3,3,3,
De'Von Achane,,RB,8271,7820,8400,8271,8271,8271,3,4,3,3,3,3,
Chase Brown,,RB,8200,8200,8350,8200,8200,8200,3,3,3,3,3,3,
CeeDee Lamb,,WR,8000,8000,8000,8000,8000,8000,4,4,4,4,4,4,
Drake London,,WR,7850,7940,7850,7850,7850,7850,4,4,4,4,4,4,
Malik Nabers,,WR,7700,7880,7700,7700,7700,7700,4,4,4,4,4,4,
Ashton Jeanty,,RB,7600,7760,7600,7600,7600,7600,5,4,5,5,5,5,
Kenneth Walker III,,RB,7533,7700,7533,7533,7533,7533,5,4,5,5,5,5,
Rashee Rice,,WR,7467,7300,7467,7467,7467,7467,5,5,5,5,5,5,
Nico Collins,,WR,7400,7200,7400,7400,7400,7400,5,5,5,5,5,5,
Derrick Henry,,RB,7333,7600,7333,7333,7333,7333,5,5,5,5,5,5,
Breece Hall,,RB,7267,7500,7267,7267,7267,7267,5,5,5,5,5,5,
